"node","gender","belt","age"
"Mr Hi","male","blue",32
"Actor 2","male","orange",21
"Actor 3","male","brown",31
"Actor 4","male","orange",22
"Actor 5","male","white",25
"Actor 6","female","orange",17
"Actor 7","male","purple",28
"Actor 8","male","orange",21
"Actor 9","male","white",19
"Actor 10","male","orange",22
"Actor 11","male","white",37
"Actor 12","female","blue",33
"Actor 13","female","orange",30
"Actor 14","male","white",35
"Actor 15","female","orange",36
"Actor 16","female","white",20
"Actor 17","female","white",17
"Actor 18","female","purple",38
"Actor 19","male","white",38
"Actor 20","male","brown",27
"Actor 21","male","orange",40
"Actor 22","male","white",20
"Actor 23","male","white",34
"Actor 24","male","blue",32
"Actor 25","male","brown",36
"Actor 26","male","blue",34
"Actor 27","female","white",25
"Actor 28","female","white",27
"Actor 29","male","white",27
"Actor 30","female","purple",38
"Actor 31","male","orange",17
"Actor 32","female","blue",36
"Actor 33","female","purple",40
"John A","male","orange",17
